Scenario,Guidelines Required,Question,Misinformation or Myths,Misinformation counteraction/ clarity,Midwifery / Medical solution ( advice)
"A 30-year-old woman in labor is experiencing difficulty due to a breech presentation. In her culture, when a pregnant woman is cooking with firewood, the bigger part should go in first and the smaller part later, so that the baby 's head cmes out first, she is wondering why this didnot work.The healthcare team is considering the best approach for a safe delivery.",Breech delivery,"How has the patient's breech presentation been managed during labor, and what approach has been taken for a safe delivery?",Putting wood in the cooking stove with the bigger side in first guarantees a good delivery outcome.,"Breech delivery occurs due to prematurity of the foetus, multiple pregnancies, congenital anormalies, placental polarity and sometimes the cause is un known.","Assure the mother, that evrything is going to be done to make sure that everything goes right. Refer the mother to a higher facility. If footling breech, prepare mother for a cesearean section. If frank or complete breech, then perfom manourvers to deliver the baby. Prepare for neonatal rescusitation."
"A 28-year-old woman in labor has a face presentation, making the delivery process more challenging. The mother is saying that it is happening like that because she didn't pray enough to the gods. The healthcare team is monitoring her closely and providing guidance for a safe delivery.",Face presentation,"How has the patient's face presentation been managed during labor, and what steps have been taken to assist with the delivery process?",Praying to the gods makes the baby come out in a good way.,"Face presentation usually happens because of cephalopelvic disproportion or pelvic contracture, high parity and prematurity of the unborn baby.","Assure the mother and get her to calm down. Manage with cesearean section. If not, then refer the mother to a higher facility."
"A 26-year-old woman in labor has a brow presentation, which is complicating the delivery process. The healthcare team is considering interventions to assist with the delivery. The caretakers are blaming her saying she didn’t take enough herbs and so its her fault that the baby is not coming out well.",Brow presentation,"How has the patient's brow presentation been managed during labor, and what interventions have been considered to assist with the delivery process?",Taking herbs makes the baby to be well positioned.,"Brow presentation usually happens because of cephalopelvic disproportion or pelvic contracture, high parity and prematurity. Herbs taken or not, it can happen.","Assure the mother and get her to calm down. Manage with cesearean section. If not, then refer the mother to a higher facility."
"A 24-year-old woman in labor has a transverse lie, making a vaginal delivery impossible. The healthcare team is planning for a cesarean section to ensure a safe delivery. She is insisting that wait because the gods are going to make her baby turn.",Transverse lie,"How has the patient's transverse lie been managed during labor, and what steps have been taken to plan for a cesarean section?",gods can make the baby turn in the womb.,Babies usually settle in transverse lie because they are most comfortable there.,"External Cephalic version can be tried if at a facilitity with comprehensive obstetric care. If ECV fails, then an elective cesearean section is done. "
A 28-year-old pregnant woman is expecting twins and is seeking guidance on the management of her multiple pregnancy. She was told that she has to eat for three people and she is wondering if it is true. She is concerned about the increased risks associated with multiple pregnancies and the health of her babies.,Multiple pregnancies,"How has the patient's multiple pregnancy been managed, and what steps have been taken to address the increased risks and ensure the health of the babies?",Eat for three when with a twin pregnancy.,"During pregnancy, it is crutial to eat alittle extra for the benefit of the children growing in the womb, but not excess as this can lead to obesity.",Attend ANC regularly. Take iron supplements as instructed.
A 27-year-old woman in labor is experiencing slow progress during the first stage.She wants to take herbs from her gandmother to quicken the birthing process. The healthcare team is monitoring her closely and considering interventions to assist with the labor process.,Management of the first stage of labor,"How has the patient's slow progress during the first stage of labor been managed, and what interventions have been considered to assist with the labor process?",Herbs quicken the delivery process.,This is very risky as it can cause overstimulation of the uterus leading to precipitate labour or uterine rapture.,Maintain a good hygiene. Empty bladder and bowel frequently. Take sweetened tea and soft foods to increase the energy store. Walk around to incraese descent of the baby.
"A 30-year-old woman in the second stage of labor is experiencing difficulty in pushing the baby out. She says that since her hips are good, labour should be easy for her, like her fellows in the village say. The healthcare team is providing support and guidance to help her through the process.",Second stage of labor,"How has the patient been supported and guided during the second stage of labor, and what steps have been taken to assist with the delivery of the baby?",Good hips make labour easy.,"Good hips may indicate the pelvis is sufficient for vaginal birth, however, the hips can be good when the pelvis is small. Or the baby can be big compared to the pelvis. The mother has to have an opem mind. ",Practice calming techniques to improve the pysique. Take some sweetened tea to increase the energy supply.
"A 26-year-old woman has just delivered her baby and is in the third stage of labor. People in her culture believe that girls have labour just like their mothers, she therefore thinks that she will not have any complication, since her mother didn't have any. The healthcare team is monitoring the delivery of the placenta and ensuring that there is no excessive bleeding.",Third stage of labor,"How has the patient's third stage of labor been managed, and what measures have been taken to ensure the safe delivery of the placenta and prevent excessive bleeding?",Your labour is like your mother's.,"Despite the fact that familial history determines risk factors, every individual has unique factors and so she can experience complications that her relatives didn't.","Follow the management procedure of the third stage of labour of the facility. Keep the baby skin-to-skin with the mother, dry and well covered."
A 29-year-old woman has just delivered her baby and is in the fourth stage of labor. She was told that she needs to tie her stomach immediately after birth in order for it to grow small. The healthcare team is providing postpartum care to ensure her well-being and the health of her newborn.,Management of the fourth stage and first 24 hours,"What postpartum care has been provided to the patient, and how has her recovery and the care of the newborn been managed during the fourth stage and first 24 hours?",One must tie the stomach after giving birth to make it grow small.,There is no scientific proof of this and if done wrongly can prevent the uterus from contarcting properly. It Should be done with caution ans best if avoided.,Breast feeding within the first one hour. Get plenty of rest. Eat soft food frequently. Empty bowel and bladder frequently. Take antibiotics if prescribed.
A 29-year-old pregnant woman is distraught after receiving the news of intrauterine fetal death during a routine ultrasound examination. She fears that she was cursed and that is why her baby is dead. She seeks support and guidance on the next steps.,Intrauterine fetal death,"How has the patient been supported and guided following the diagnosis of intrauterine fetal death, and what steps have been taken to manage the situation?",A baby dies because the mother is cursed.,Intrauterine fetal death can occur to a number of known and unknown reasons. It can happen to anyone whether cursed or not.,Join a sociual support group for emotional support. Get on family planning until ready to conceive another child. Take antibiotics as prescribed. Get enough rest.
A 30-year-old pregnant woman at 36 weeks of gestation has had a an ultrasound scan done and she has been told that her baby has a breech presentation. She is concerned about the safety of her delivery and the health of her baby. She fears that her baby cannot born vaginally and that hse will have to go for a cesearean section.,Breech presentation,"How has the patient's breech presentation been managed, and what steps have been taken to ensure a safe delivery and the health of the baby?",Breech cannot be delivered vaginally and a cesearean section is the only way.,"There are 3 type of breech presentation, some can be delivered vaginally and some cannot. So, untill the particulary type is identified, a mother is not sanctioned for cesearean section.",Report to the health facility when at term or as soon as labour starts. Eat a balanced diet. Plan for delivery from a hospital. Avoid trying to make the baby turn in the womb. Avoid taking any herbs.
A 28-year-old pregnant woman has been diagnosed with gestational diabetes during a routine glucose tolerance test. She is worried about the impact of gestational diabetes on her pregnancy and the well-being of her baby. She had been told that this disease only affects overweight people.,Gestational diabetes,"How has the patient's gestational diabetes been managed during her pregnancy, and what measures have been taken to ensure the health of the baby?",Gestational diabetes only affects overweight people.,"Being overweight increases the risk of getting gestational diabetes but even people who are underweight or within a health body mass index can get the disease. This is because there are other risk factors apart from obesity like high blood pressure, sedantary lifestyle and others.","Eat a balanced diet, paying attention to the fat, protein and carbohydrate intake. Eat every two hours to control blood sugar while adhering to the medication. Do exercises regularly."
A 24-year-old pregnant woman at 34 weeks of gestation is experiencing regular contractions and signs of preterm labor. She is anxious about the possibility of delivering her baby prematurely and the associated risks. She thinks that she will not be able to bond with her baby if he or she is born prematurely.,Preterm (premature) labor,"How has the patient's preterm labor been diagnosed and managed, and what steps have been taken to ensure the well-being of the baby?",You cannot bond with your baby if born prematurely.,"Bonding with babies occurs in various ways and as long as the parents take care of the child while admitted in NICU, bonding occurs easily.","Report to the health facility immediately. Take antibiotics as prescribed. Prepare adequately for delivery. Do an ultrasound scan. Do some tests like urinalysis, CBC, blood grouping and cross-matching."
A 27-year-old pregnant woman at 37 weeks of gestation has experienced a sudden gush of clear fluid from her vagina. She is concerned about the rupture of membranes and the potential risk of infection. She thinks that it happening because her baby is dead.,Pre-labor rupture of membranes (PROM),"How has the patient's pre-labor rupture of membranes been managed, and what measures have been taken to prevent infection and ensure a safe delivery?",PROM happens because the baby is dead.,"PROM happens sometimes due to infections of the uterus, cervix or vagina or if someone smokes. But not because the baby is dead.",Maintain good hygiene. Report to the health facility immediately. Take antibiotics as prescribed. Prepare for delivery.
"A 28-year-old pregnant woman is attending her first antenatal care (ANC) visit. The healthcare team is providing goal-oriented ANC to assess her health, identify any potential risks, and provide guidance for a healthy pregnancy. Women in this region only attend ANC when there is a problem.",Goal-oriented ANC,"What assessments and interventions have been provided during the patient's first goal-oriented ANC visit, and how has her care been tailored to her specific needs?",Attend ANC only when there is a problem.,"ANC is very beneficial to a pregnant woman, whether she feels that there is a problem or not. A pregnancy is monitored and any complication is identified and managed timely.",Organise more health education talks in the community. Arrange more community outreaches to inform peopl about the available government programs.
A 26-year-old pregnant woman is feeling fatigued and has pale skin. She thinks that it is only children that can get anaemia. She is diagnosed with anemia and receives treatment to improve her iron levels and overall health during pregnancy.,Anaemia in pregnancy,"How has the patient's anemia been diagnosed and managed during her pregnancy, and what steps have been taken to improve her iron levels and overall health?",Only children can suffer from anaemia.,A person at any age can suffer from anaemia. The risk increases during pregnancy espescially in cases of insufficient nutrition.,Attend ANC regularly. Take iron supplements as instructed. Add more vegetables to the diet. Get plenty of rest. Treat the underlying cause.
"A 30-year-old pregnant woman living in a malaria-endemic area is diagnosed with malaria. In this area, people believe that when it is hot, malaria does not spread. She receives treatment to manage the infection and prevent complications for herself and her unborn baby.",Management of malaria in pregnancy,"How has the patient's malaria been diagnosed and managed during her pregnancy, and what measures have been taken to prevent complications for both the mother and the unborn baby?",One does not suffer from malaria when it is hot.,"When it is hot, malaria still spreads, just not as fast like when it is rainy and wet. During rainy weather, the mosquitoes have more breeding grounds.",Sleep under a treated mosquito net and use it correctly. Adopt other measures to fight against malaria. Attend ANC regularly. Take IPTs regularly.
"A 26-year-old pregnant woman with a history of hypertension in pregnancy is experiencing severe headaches and blurred vision. She had been told that if she eats right, then she would not get preeclampsia again. She is diagnosed with preeclampsia and receives treatment to manage her blood pressure and protect her health and that of her baby.",Management of hypertensive disorders in pregnancy,"How has the patient's preeclampsia been diagnosed and managed during her pregnancy, and what steps have been taken to manage her blood pressure and protect the health of both the mother and the baby?","If you eat right, you will not get preeclampsia.",Preeclampsia is related to the implanatation of the placenta after the 20th week of gestation. This diet in the rest of the pregnancy does not change that.,"Attend ANC regularly. Report to a credible health facility immediately. Follow the treatment plan strictly. Do an ultrasound scan. Do tests like urinalysis, CBC, RFTs, LFTs."
"A 25-year-old pregnant woman is experiencing severe nausea and vomiting, leading to dehydration and weight loss. She was told that this is dangerous for the baby. She is diagnosed with hyperemesis gravidarum and receives treatment to manage her symptoms and ensure her well-being and the health of her baby.",Hyperemesis gravidarum,"How has the patient's hyperemesis gravidarum been diagnosed and managed, and what measures have been taken to ensure her well-being and the health of her baby?",Hyperemesis gravidarum is dangerous for the baby.,"Hyperemesis gravidarum is not directly dangerous. Vomiting is protective from petrol fumes, however, if its too much, then it is dangerous as dehydration for the mother also affects the child.","Eat snacks to relieve the nausea but avoid spicy and fatty. Take plenty of fluids. Get enough rest. Wear loose and comfortable clothes. Take some vitamins and supplements. If all fails, you can try an antacid like magnesium sulfate but after consultation from a medical personnel. Attend ANC regularly."
